sofascore_id,name,position,nationality,age,height,market_value,team,league
108579,Harry Kane,F,England,,188.0,71000000.0,FC Bayern München,Bundesliga
1085381,Nicolas Jackson,F,Senegal,,186.0,44000000.0,FC Bayern München,Bundesliga
1976732,Wisdom Mike,F,Germany,,175.0,4800000.0,FC Bayern München,Bundesliga
883537,Luis Díaz,M,Colombia,,178.0,76000000.0,FC Bayern München,Bundesliga
1010231,Jamal Musiala,M,Germany,,184.0,126000000.0,FC Bayern München,Bundesliga
978838,Michael Olise,M,France,,184.0,125000000.0,FC Bayern München,Bundesliga
1861975,Lennart Karl,M,Germany,,168.0,63000000.0,FC Bayern München,Bundesliga
259117,Joshua Kimmich,M,Germany,,176.0,43000000.0,FC Bayern München,Bundesliga
187433,Serge Gnabry,M,Germany,,176.0,21000000.0,FC Bayern München,Bundesliga
184661,Leon Goretzka,M,Germany,,189.0,13700000.0,FC Bayern München,Bundesliga
1142251,Aleksandar Pavlović,M,Germany,,186.0,69000000.0,FC Bayern München,Bundesliga
1129935,Tom Bischof,M,Germany,,176.0,39000000.0,FC Bayern München,Bundesliga
1489220,David Daiber,M,Portugal,,179.0,920000.0,FC Bayern München,Bundesliga
2427970,Bara Sapoko Ndiaye,M,Senegal,,180.0,280000.0,FC Bayern München,Bundesliga
843665,Alphonso Davies,D,Canada,,185.0,49000000.0,FC Bayern München,Bundesliga
896569,Min-jae Kim,D,South Korea,,190.0,26000000.0,FC Bayern München,Bundesliga
798583,Dayot Upamecano,D,France,,185.0,65000000.0,FC Bayern München,Bundesliga
227672,Jonathan Tah,D,Germany,,194.0,28000000.0,FC Bayern München,Bundesliga
927407,Josip Stanišić,D,Croatia,,186.0,31000000.0,FC Bayern München,Bundesliga
246999,Raphaël Guerreiro,D,Portugal,,170.0,6300000.0,FC Bayern München,Bundesliga
355492,Konrad Laimer,D,Austria,,180.0,31000000.0,FC Bayern München,Bundesliga
873106,Hiroki Itō,D,Japan,,188.0,19800000.0,FC Bayern München,Bundesliga
1994978,Cassiano Kiala,D,Germany,,186.0,1800000.0,FC Bayern München,Bundesliga
8959,Manuel Neuer,G,Germany,,193.0,4099999.0,FC Bayern München,Bundesliga
1130647,Jonas Urbig,G,Germany,,189.0,13100000.0,FC Bayern München,Bundesliga
26768,Sven Ulreich,G,Germany,,192.0,515000.0,FC Bayern München,Bundesliga
1534063,Leon Klanac,G,Germany,,185.0,145000.0,FC Bayern München,Bundesliga
328027,Serhou Guirassy,F,Guinea,,187.0,42000000.0,Borussia Dortmund,Bundesliga
940054,Karim Adeyemi,F,Germany,,177.0,62000000.0,Borussia Dortmund,Bundesliga
954076,Fábio Silva,F,Portugal,,185.0,27000000.0,Borussia Dortmund,Bundesliga
980628,Maximilian Beier,F,Germany,,183.0,32000000.0,Borussia Dortmund,Bundesliga
1134083,Jobe Bellingham,M,England,,189.0,24000000.0,Borussia Dortmund,Bundesliga
994556,Carney Chukwuemeka,M,England,,185.0,23000000.0,Borussia Dortmund,Bundesliga
226978,Julian Brandt,M,Germany,,186.0,21000000.0,Borussia Dortmund,Bundesliga
133908,Marcel Sabitzer,M,Austria,,177.0,7200000.0,Borussia Dortmund,Bundesliga
1002813,Yan Couto,M,Brazil,,169.0,21000000.0,Borussia Dortmund,Bundesliga
907463,Felix Nmecha,M,Germany,,190.0,44000000.0,Borussia Dortmund,Bundesliga
1021272,Daniel Svensson,M,Sweden,,183.0,20000000.0,Borussia Dortmund,Bundesliga
795005,Salih Özcan,M,Türkiye,,180.0,3400000.0,Borussia Dortmund,Bundesliga
577726,Ramy Bensebaini,D,Algeria,,186.0,7400000.0,Borussia Dortmund,Bundesliga
940871,Nico Schlotterbeck,D,Germany,,191.0,57000000.0,Borussia Dortmund,Bundesliga
138156,Emre Can,D,Germany,,186.0,6500000.0,Borussia Dortmund,Bundesliga
168937,Niklas Süle,D,Germany,,195.0,4700000.0,Borussia Dortmund,Bundesliga
800951,Julian Ryerson,D,Norway,,183.0,18900000.0,Borussia Dortmund,Bundesliga
1137131,Filippo Mané,D,Italy,,188.0,2400000.0,Borussia Dortmund,Bundesliga
799046,Waldemar Anton,D,Germany,,189.0,19700000.0,Borussia Dortmund,Bundesliga
1937833,Luca Reggiani,D,Italy,,192.0,970000.0,Borussia Dortmund,Bundesliga
1418620,Almugera Kabar,D,Germany,,181.0,3100000.0,Borussia Dortmund,Bundesliga
556866,Gregor Kobel,G,Switzerland,,193.0,41000000.0,Borussia Dortmund,Bundesliga
138491,Alexander Meyer,G,Germany,,196.0,760000.0,Borussia Dortmund,Bundesliga
1140591,Silas Ostrzinski,G,Germany,,197.0,205000.0,Borussia Dortmund,Bundesliga
132607,Patrick Drewes,G,Germany,,194.0,420000.0,Borussia Dortmund,Bundesliga
67647,Andrej Kramarić,F,Croatia,,177.0,3200000.0,TSG Hoffenheim,Bundesliga
1010117,Fisnik Asllani,F,Kosovo,,186.0,31000000.0,TSG Hoffenheim,Bundesliga
963801,Adam Hložek,F,Czechia,,186.0,15500000.0,TSG Hoffenheim,Bundesliga
1418703,Max Moerstedt,F,Germany,,194.0,7600000.0,TSG Hoffenheim,Bundesliga
1014290,Tim Lemperle,F,Germany,,186.0,10800000.0,TSG Hoffenheim,Bundesliga
254297,Ihlas Bebou,F,Togo,,183.0,870000.0,TSG Hoffenheim,Bundesliga
1440627,Yannick Eduardo,F,Czechia,,193.0,515000.0,TSG Hoffenheim,Bundesliga
1604187,Deniz Zeitler,F,Germany,,181.0,1500000.0,TSG Hoffenheim,Bundesliga
1568123,Bazoumana Touré,M,Côte d'Ivoire,,175.0,24000000.0,TSG Hoffenheim,Bundesliga
1134578,Cole Campbell,M,USA,,170.0,4800000.0,TSG Hoffenheim,Bundesliga
1493305,Leon Avdullahu,M,Kosovo,,185.0,18700000.0,TSG Hoffenheim,Bundesliga
916946,Wouter Burger,M,Netherlands,,190.0,9300000.0,TSG Hoffenheim,Bundesliga
978062,Alexander Prass,M,Austria,,180.0,4900000.0,TSG Hoffenheim,Bundesliga
1128638,Muhammed Damar,M,Germany,,185.0,6500000.0,TSG Hoffenheim,Bundesliga
253993,Grischa Prömel,M,Germany,,182.0,3100000.0,TSG Hoffenheim,Bundesliga
1838178,Luis Engelns,M,Germany,,188.0,4400000.0,TSG Hoffenheim,Bundesliga
2216257,Luka Duric,M,Bosnia & Herzegovina,,181.0,320000.0,TSG Hoffenheim,Bundesliga
857740,Ozan Kabak,D,Türkiye,,185.0,4900000.0,TSG Hoffenheim,Bundesliga
138024,Vladimír Coufal,D,Czechia,,179.0,2600000.0,TSG Hoffenheim,Bundesliga
790977,Koki Machida,D,Japan,,190.0,6700000.0,TSG Hoffenheim,Bundesliga
1000269,Albian Hajdari,D,Kosovo,,189.0,11600000.0,TSG Hoffenheim,Bundesliga
828571,Bernardo,D,Brazil,,186.0,4600000.0,TSG Hoffenheim,Bundesliga
187423,Kevin Akpoguma,D,Nigeria,,192.0,1900000.0,TSG Hoffenheim,Bundesliga
957615,Robin Hranáč,D,Czechia,,189.0,7700000.0,TSG Hoffenheim,Bundesliga
944899,Valentin Gendrey,D,France,,179.0,7400000.0,TSG Hoffenheim,Bundesliga
1864768,Kelven Frees ,D,Germany,,202.0,310000.0,TSG Hoffenheim,Bundesliga
40244,Oliver Baumann,G,Germany,,185.0,3200000.0,TSG Hoffenheim,Bundesliga
943550,Luca Philipp,G,Germany,,192.0,705000.0,TSG Hoffenheim,Bundesliga
1196091,Lukas Petersson,G,Iceland,,193.0,570000.0,TSG Hoffenheim,Bundesliga
794298,Deniz Undav,F,Germany,,179.0,18500000.0,VfB Stuttgart,Bundesliga
878081,Ermedin Demirović,F,Bosnia & Herzegovina,,184.0,20000000.0,VfB Stuttgart,Bundesliga
1464642,Jeremy Arevalo,F,Ecuador,,180.0,7200000.0,VfB Stuttgart,Bundesliga
983540,Tiago Tomás,F,Portugal,,180.0,14600000.0,VfB Stuttgart,Bundesliga
1126569,Bilal El Khannouss,M,Morocco,,180.0,30000000.0,VfB Stuttgart,Bundesliga
1153265,Badredine Bouanani,M,Algeria,,177.0,12600000.0,VfB Stuttgart,Bundesliga
1464641,Chema Andrés,M,Spain,,193.0,14600000.0,VfB Stuttgart,Bundesliga
901882,Angelo Stiller,M,Germany,,183.0,46000000.0,VfB Stuttgart,Bundesliga
990201,Jamie Leweling,M,Germany,,184.0,23000000.0,VfB Stuttgart,Bundesliga
891510,Chris Führich,M,Germany,,178.0,9700000.0,VfB Stuttgart,Bundesliga
801030,Atakan Karazor,M,Türkiye,,190.0,9900000.0,VfB Stuttgart,Bundesliga
1427148,Lazar Jovanović,M,Serbia,,182.0,5400000.0,VfB Stuttgart,Bundesliga
861981,Nikolas Nartey,M,Denmark,,185.0,2100000.0,VfB Stuttgart,Bundesliga
1009334,Lorenz Assignon,M,France,,179.0,11600000.0,VfB Stuttgart,Bundesliga
788949,Maximilian Mittelstädt,D,Germany,,178.0,19800000.0,VfB Stuttgart,Bundesliga
1418649,Finn Jeltsch,D,Germany,,188.0,23000000.0,VfB Stuttgart,Bundesliga
826205,Dan-Axel Zagadou,D,France,,196.0,1900000.0,VfB Stuttgart,Bundesliga
863271,Jeff Chabot,D,Germany,,194.0,15500000.0,VfB Stuttgart,Bundesliga
1979970,Ameen Al-Dakhil,D,Belgium,,185.0,4099999.0,VfB Stuttgart,Bundesliga
906278,Josha Vagnoman,D,Germany,,186.0,10300000.0,VfB Stuttgart,Bundesliga
916943,Ramon Hendriks,D,Netherlands,,189.0,4800000.0,VfB Stuttgart,Bundesliga
1127823,Luca Jaquez,D,Switzerland,,187.0,10700000.0,VfB Stuttgart,Bundesliga
352562,Pascal Stenzel,D,Germany,,184.0,1100000.0,VfB Stuttgart,Bundesliga
584722,Alexander Nübel,G,Germany,,193.0,10900000.0,VfB Stuttgart,Bundesliga
152463,Fabian Bredlow,G,Germany,,191.0,825000.0,VfB Stuttgart,Bundesliga
930339,Stefan Drljača,G,Germany,,191.0,280000.0,VfB Stuttgart,Bundesliga
2087085,Yan Diomande,F,Côte d'Ivoire,,180.0,49000000.0,RB Leipzig,Bundesliga
1121923,Antonio Nusa,F,Norway,,180.0,31000000.0,RB Leipzig,Bundesliga
1088896,Johan Bakayoko,F,Belgium,,179.0,23000000.0,RB Leipzig,Bundesliga
1494826,Conrad Harder,F,Denmark,,186.0,26000000.0,RB Leipzig,Bundesliga
1133743,Rômulo,F,Brazil,,193.0,32000000.0,RB Leipzig,Bundesliga
1894870,Sani Suleiman,F,Nigeria,,175.0,1300000.0,RB Leipzig,Bundesliga
2269705,Samba Konaté,F,France,,190.0,970000.0,RB Leipzig,Bundesliga
1418623,Assan Ouédraogo,M,Germany,,192.0,26000000.0,RB Leipzig,Bundesliga
1406171,Andrija Maksimović,M,Serbia,,182.0,14400000.0,RB Leipzig,Bundesliga
1198075,Brajan Gruda,M,Germany,,178.0,29000000.0,RB Leipzig,Bundesliga
825956,Christoph Baumgartner,M,Austria,,180.0,21000000.0,RB Leipzig,Bundesliga
976575,Nicolas Seiwald,M,Austria,,179.0,17500000.0,RB Leipzig,Bundesliga
1155383,Ezechiel Banzuzi,M,Netherlands,,191.0,18900000.0,RB Leipzig,Bundesliga
791079,Xaver Schlager,M,Austria,,174.0,9500000.0,RB Leipzig,Bundesliga
1426577,Tidiam Gomis,M,France,,183.0,3200000.0,RB Leipzig,Bundesliga
1586659,Ayodele Thomas,M,Netherlands,,188.0,600000.0,RB Leipzig,Bundesliga
1900995,Viggo Gebel,M,Germany,,175.0,340000.0,RB Leipzig,Bundesliga
1925472,Benno Kaltefleiter,M,Germany,,189.0,,RB Leipzig,Bundesliga
136924,Willi Orbán,D,Hungary,,186.0,6600000.0,RB Leipzig,Bundesliga
976421,Castello Lukeba,D,France,,184.0,44000000.0,RB Leipzig,Bundesliga
1152923,Kosta Nedeljković,D,Serbia,,184.0,8700000.0,RB Leipzig,Bundesliga
856076,David Raum,D,Germany,,180.0,22000000.0,RB Leipzig,Bundesliga
1048009,El Chadaille Bitshiabu,D,France,,196.0,14600000.0,RB Leipzig,Bundesliga
856553,Ridle Baku,D,Germany,,176.0,12800000.0,RB Leipzig,Bundesliga
319857,Benjamin Henrichs,D,Germany,,182.0,13000000.0,RB Leipzig,Bundesliga
319853,Lukas Klostermann,D,Germany,,188.0,3400000.0,RB Leipzig,Bundesliga
1146250,Max Finkgräfe,D,Germany,,183.0,3300000.0,RB Leipzig,Bundesliga
1606622,Jonathan Norbye,D,Norway,,194.0,280000.0,RB Leipzig,Bundesliga
37096,Péter Gulácsi,G,Hungary,,190.0,1900000.0,RB Leipzig,Bundesliga
934385,Maarten Vandevoordt,G,Belgium,,192.0,8800000.0,RB Leipzig,Bundesliga
148263,Leopold Zingerle,G,Germany,,188.0,375000.0,RB Leipzig,Bundesliga
2029648,Christian Kofane,F,Cameroon,,189.0,23000000.0,Bayer 04 Leverkusen,Bundesliga
280609,Patrik Schick,F,Czechia,,191.0,23000000.0,Bayer 04 Leverkusen,Bundesliga
1119502,Ernest Poku,F,Netherlands,,172.0,19100000.0,Bayer 04 Leverkusen,Bundesliga
142390,Jonas Hofmann,F,Germany,,176.0,2100000.0,Bayer 04 Leverkusen,Bundesliga
846445,Martin Terrier,F,France,,184.0,11000000.0,Bayer 04 Leverkusen,Bundesliga
1568522,Montrell Culbreath,F,Germany,,172.0,1000000.0,Bayer 04 Leverkusen,Bundesliga
1407524,Ibrahim Maza,M,Algeria,,181.0,23000000.0,Bayer 04 Leverkusen,Bundesliga
1394353,Eliesse Ben Seghir,M,Morocco,,178.0,25000000.0,Bayer 04 Leverkusen,Bundesliga
177177,Alejandro Grimaldo,M,Spain,,171.0,23000000.0,Bayer 04 Leverkusen,Bundesliga
822600,Exequiel Palacios,M,Argentina,,177.0,31000000.0,Bayer 04 Leverkusen,Bundesliga
1003012,Ezequiel Fernández,M,Argentina,,178.0,26000000.0,Bayer 04 Leverkusen,Bundesliga
975798,Malik Tillman,M,USA,,186.0,32000000.0,Bayer 04 Leverkusen,Bundesliga
796047,Aleix García,M,Spain,,173.0,21000000.0,Bayer 04 Leverkusen,Bundesliga
920379,Nathan Tella,M,Nigeria,,173.0,15800000.0,Bayer 04 Leverkusen,Bundesliga
1174761,Arthur,M,Brazil,,173.0,6500000.0,Bayer 04 Leverkusen,Bundesliga
255239,Lucas Vázquez,D,Spain,,173.0,2700000.0,Bayer 04 Leverkusen,Bundesliga
883262,Edmond Tapsoba,D,Burkina Faso,,193.0,37000000.0,Bayer 04 Leverkusen,Bundesliga
1003339,Jarell Quansah,D,England,,190.0,43000000.0,Bayer 04 Leverkusen,Bundesliga
168903,Robert Andrich,D,Germany,,189.0,7200000.0,Bayer 04 Leverkusen,Bundesliga
1006489,Loïc Badé,D,France,,191.0,27000000.0,Bayer 04 Leverkusen,Bundesliga
1937795,Axel Tape,D,France,,180.0,8700000.0,Bayer 04 Leverkusen,Bundesliga
1542758,Issa Traoré,D,Mali,,189.0,775000.0,Bayer 04 Leverkusen,Bundesliga
1138778,Tim Oermann,D,Germany,,187.0,4099999.0,Bayer 04 Leverkusen,Bundesliga
171919,Mark Flekken,G,Netherlands,,194.0,8500000.0,Bayer 04 Leverkusen,Bundesliga
96832,Janis Blaswich,G,Germany,,193.0,650000.0,Bayer 04 Leverkusen,Bundesliga
571622,Jonas Omlin,G,Switzerland,,189.0,1400000.0,Bayer 04 Leverkusen,Bundesliga
142471,Niklas Lomb,G,Germany,,188.0,240000.0,Bayer 04 Leverkusen,Bundesliga
147745,Michy Batshuayi,F,Belgium,,185.0,3200000.0,Eintracht Frankfurt,Bundesliga
939830,Jonathan Burkardt,F,Germany,,181.0,34000000.0,Eintracht Frankfurt,Bundesliga
954061,Arnaud Kalimuendo,F,France,,175.0,24000000.0,Eintracht Frankfurt,Bundesliga
997012,Ansgar Knauff,F,Germany,,180.0,15500000.0,Eintracht Frankfurt,Bundesliga
1474296,Younes Ebnoutalib,F,Germany,,191.0,6600000.0,Eintracht Frankfurt,Bundesliga
1898148,Ayoube Amaimouni-Echghouyab,F,Morocco,,178.0,2200000.0,Eintracht Frankfurt,Bundesliga
1403087,Alexander Staff,F,Germany,,180.0,340000.0,Eintracht Frankfurt,Bundesliga
1192318,Farès Chaïbi,M,Algeria,,183.0,14500000.0,Eintracht Frankfurt,Bundesliga
1440948,Can Uzun,M,Türkiye,,186.0,44000000.0,Eintracht Frankfurt,Bundesliga
66518,Mario Götze,M,Germany,,176.0,3600000.0,Eintracht Frankfurt,Bundesliga
790965,Ritsu Doan,M,Japan,,172.0,23000000.0,Eintracht Frankfurt,Bundesliga
591706,Ellyes Skhiri,M,Tunisia,,185.0,6200000.0,Eintracht Frankfurt,Bundesliga
1142211,Hugo Larsson,M,Sweden,,187.0,42000000.0,Eintracht Frankfurt,Bundesliga
1146148,Jean-Mattéo Bahoya,M,France,,180.0,24000000.0,Eintracht Frankfurt,Bundesliga
341589,Mahmoud Dahoud,M,Syria,,177.0,2200000.0,Eintracht Frankfurt,Bundesliga
1149113,Oscar Højlund,M,Denmark,,184.0,7300000.0,Eintracht Frankfurt,Bundesliga
1977245,Love Arrhov,M,Sweden,,178.0,5200000.0,Eintracht Frankfurt,Bundesliga
40239,Timothy Chandler,M,USA,,186.0,375000.0,Eintracht Frankfurt,Bundesliga
965778,Arthur Theate,D,Belgium,,186.0,23000000.0,Eintracht Frankfurt,Bundesliga
1159759,Nathaniel Brown,D,Germany,,179.0,32000000.0,Eintracht Frankfurt,Bundesliga
581302,Robin Koch,D,Germany,,190.0,16100000.0,Eintracht Frankfurt,Bundesliga
921789,Rasmus Kristensen,D,Denmark,,186.0,15000000.0,Eintracht Frankfurt,Bundesliga
1048569,Nnamdi Collins,D,Germany,,191.0,13900000.0,Eintracht Frankfurt,Bundesliga
1501641,Keita Kosugi,D,Japan,,172.0,3900000.0,Eintracht Frankfurt,Bundesliga
1403018,Elias Baum,D,Germany,,180.0,4900000.0,Eintracht Frankfurt,Bundesliga
999276,Aurèle Amenda,D,Switzerland,,194.0,6200000.0,Eintracht Frankfurt,Bundesliga
