sofascore_id,name,team,league,position,nationality,age,height,market_value,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,bigChancesCreated,bigChancesMissed,totalShots,shotsOnTarget,shotsOffTarget,shotsFromInsideTheBox,shotsFromOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,accurateLongBalls,totalLongBalls,accurateLongBallsPercentage,accurateCrosses,totalCross,accurateCrossesPercentage,successfulDribbles,successfulDribblesPercentage,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,dribbledPast,tackles,tacklesWon,tacklesWonPercentage,interceptions,clearances,blockedShots,errorLeadToGoal,errorLeadToShot,possessionLost,dispossessed,ballRecovery,touches,yellowCards,redCards,yellowRedCards,fouls,wasFouled,appearances,matchesStarted,minutesPlayed,rating
108579,Harry Kane,FC Bayern München,Bundesliga,F,England,,188.0,71000000.0,30.0,5.0,35.0,22.5759,3.3711788,14.0,14.0,96.0,58.0,16.0,78.0,18.0,26.0,4.0,492.0,606.0,81.188118811881,218.0,32.0,70.0,93.0,75.268817204301,0.0,9.0,0.0,25.0,62.5,72.0,51.063829787234,37.0,62.71186440678,109.0,54.5,11.0,15.0,10.0,66.666666666667,7.0,28.0,22.0,1.0,0.0,210.0,25.0,62.0,959.0,1.0,0.0,0.0,21.0,32.0,24.0,22.0,1948.0,7.9666666666667
1085381,Nicolas Jackson,FC Bayern München,Bundesliga,F,Senegal,,186.0,44000000.0,3.0,0.0,3.0,3.0757,0.62974396,2.0,6.0,14.0,8.0,5.0,12.0,2.0,3.0,0.0,102.0,127.0,80.314960629921,64.0,11.0,1.0,1.0,100.0,0.0,0.0,0.0,4.0,36.363636363636,10.0,29.411764705882,4.0,44.444444444444,14.0,32.558139534884,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,57.0,8.0,12.0,204.0,0.0,0.0,0.0,7.0,4.0,15.0,5.0,473.0,6.6066666666667
1976732,Wisdom Mike,FC Bayern München,Bundesliga,F,Germany,,175.0,4800000.0,0.0,0.0,0.0,0.0913,0.00823125,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,17.0,82.352941176471,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,37.0,6.4333333333333
883537,Luis Díaz,FC Bayern München,Bundesliga,M,Colombia,,178.0,76000000.0,13.0,10.0,23.0,12.123,5.8893562,11.0,13.0,66.0,31.0,21.0,54.0,12.0,11.0,2.0,855.0,999.0,85.585585585586,388.0,55.0,32.0,41.0,78.048780487805,6.0,40.0,15.0,54.0,50.943396226415,98.0,44.748858447489,7.0,28.0,105.0,43.032786885246,8.0,16.0,13.0,81.25,10.0,2.0,14.0,0.0,2.0,331.0,39.0,114.0,1457.0,5.0,0.0,0.0,23.0,28.0,23.0,21.0,1930.0,7.4304347826087
1010231,Jamal Musiala,FC Bayern München,Bundesliga,M,Germany,,184.0,126000000.0,0.0,2.0,2.0,0.7904,0.32649786,0.0,0.0,10.0,3.0,2.0,6.0,4.0,0.0,0.0,87.0,99.0,87.878787878788,41.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,47.058823529412,22.0,52.380952380952,1.0,100.0,23.0,53.488372093023,5.0,5.0,2.0,40.0,1.0,0.0,5.0,0.0,0.0,40.0,4.0,14.0,171.0,1.0,0.0,0.0,2.0,9.0,7.0,1.0,217.0,6.5857142857143
978838,Michael Olise,FC Bayern München,Bundesliga,M,France,,184.0,125000000.0,10.0,16.0,26.0,8.38,13.6475523,22.0,7.0,75.0,38.0,14.0,43.0,32.0,9.0,1.0,989.0,1163.0,85.038693035254,551.0,64.0,20.0,31.0,64.516129032258,24.0,110.0,21.818181818182,49.0,44.144144144144,109.0,45.04132231405,6.0,35.294117647059,115.0,44.401544401544,23.0,20.0,9.0,45.0,11.0,6.0,23.0,0.0,1.0,429.0,25.0,81.0,1760.0,5.0,0.0,0.0,25.0,40.0,23.0,19.0,1791.0,7.8478260869565
1861975,Lennart Karl,FC Bayern München,Bundesliga,M,Germany,,168.0,63000000.0,4.0,2.0,6.0,4.7384,3.04608571,4.0,7.0,31.0,14.0,13.0,17.0,14.0,3.0,1.0,493.0,580.0,85.0,196.0,15.0,21.0,30.0,70.0,7.0,23.0,30.434782608696,15.0,34.090909090909,44.0,44.0,2.0,18.181818181818,46.0,41.441441441441,11.0,20.0,11.0,55.0,11.0,2.0,4.0,0.0,2.0,178.0,12.0,40.0,812.0,0.0,0.0,0.0,4.0,10.0,20.0,11.0,905.0,6.8473684210526
259117,Joshua Kimmich,FC Bayern München,Bundesliga,M,Germany,,176.0,43000000.0,2.0,6.0,8.0,2.2017,6.8627261,12.0,1.0,20.0,8.0,6.0,10.0,10.0,2.0,0.0,1616.0,1759.0,91.870380898238,476.0,37.0,115.0,163.0,70.552147239264,23.0,85.0,27.058823529412,10.0,76.923076923077,40.0,54.054054054054,6.0,35.294117647059,46.0,50.549450549451,16.0,18.0,14.0,77.777777777778,14.0,11.0,6.0,0.0,4.0,242.0,9.0,83.0,2036.0,4.0,0.0,0.0,6.0,12.0,20.0,16.0,1555.0,7.585
187433,Serge Gnabry,FC Bayern München,Bundesliga,M,Germany,,176.0,21000000.0,6.0,6.0,12.0,5.6174,4.2592755,8.0,6.0,40.0,15.0,14.0,26.0,14.0,6.0,0.0,506.0,569.0,88.927943760984,204.0,21.0,12.0,18.0,66.666666666667,3.0,18.0,16.666666666667,15.0,48.387096774194,34.0,45.333333333333,0.0,0.0,34.0,40.0,6.0,16.0,8.0,50.0,4.0,3.0,11.0,0.0,2.0,131.0,13.0,33.0,755.0,1.0,0.0,0.0,8.0,3.0,19.0,14.0,1076.0,6.9578947368421
184661,Leon Goretzka,FC Bayern München,Bundesliga,M,Germany,,189.0,13700000.0,2.0,0.0,2.0,1.1421,2.70060705,2.0,1.0,14.0,4.0,7.0,9.0,5.0,2.0,0.0,951.0,1022.0,93.052837573386,271.0,12.0,33.0,46.0,71.739130434783,0.0,2.0,0.0,7.0,100.0,37.0,56.060606060606,16.0,38.095238095238,53.0,49.074074074074,9.0,19.0,10.0,52.631578947368,18.0,28.0,3.0,0.0,0.0,102.0,11.0,62.0,1202.0,4.0,0.0,0.0,11.0,11.0,21.0,16.0,1204.0,7.1
